"exclude","ne","not","clausetype","never.posn","not.posn","finite","id","year","author","prev.ne","prev.not","next.ne","next.not","has.ne","has.not","has.both","neg.type","has.ne.prev","has.not.prev","has.both.prev","prev.neg.type","has.ne.next","has.not.next","has.both.next","next.neg.type","datepd"
"-","ne","preverbal","other","-","preverbal","finite","CMORM,I,215.1769",1200,"CMORM","contracted","-","contracted","-",TRUE,TRUE,TRUE,"both",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,1
"contraction","contracted","-","that","-","-","-","CMORM,I,215.1770",1200,"CMORM","ne","preverbal","contracted","-",FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,"both",FALSE,FALSE,FALSE,NA,1
"contraction","contracted","-","second-conjunct","-","-","-","CMORM,I,217.1781",1200,"CMORM","contracted","-","contracted","-",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,1
"contraction","contracted","-","other","-","-","-","CMORM,I,217.1785",1200,"CMORM","contracted","-","contracted","-",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,1
"contraction","contracted","-","relative","-","-","-","CMORM,I,218.1793",1200,"CMORM","contracted","-","contracted","-",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,1
"contraction","contracted","-","matrix","-","-","-","CMORM,I,218.1794",1200,"CMORM","contracted","-","contracted","-",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,1
"contraction","contracted","-","relative","-","-","-","CMORM,I,220.1814",1200,"CMORM","contracted","-","contracted","-",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,1
"contraction","contracted","-","matrix","-","-","-","CMORM,I,223.1841",1200,"CMORM","contracted","-","contracted","-",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,1
"contraction","contracted","-","other","-","-","-","CMORM,I,223.1841",1200,"CMORM","contracted","-","ne","preverbal",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,"ne",1
"-","ne","preverbal","matrix","-","preverbal","finite","CMORM,I,223.1848",1200,"CMORM","contracted","-","ne","postverbal",TRUE,TRUE,TRUE,"both",FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,"both",1
"constituent","ne","postverbal","that","-","postverbal","finite","CMORM,I,223.1849",1200,"CMORM","ne","preverbal","ne","postverbal",TRUE,TRUE,TRUE,"both",TRUE,TRUE,TRUE,"both",TRUE,TRUE,TRUE,"both",1
"-","ne","postverbal","matrix","-","postverbal","finite","CMORM,I,224.1862",1200,"CMORM","ne","postverbal","ne","postverbal",TRUE,TRUE,TRUE,"both",TRUE,TRUE,TRUE,"both",TRUE,TRUE,TRUE,"both",1
"-","ne","postverbal","matrix","-","postverbal","finite","CMORM,I,225.1875",1200,"CMORM","ne","postverbal","ne","postverbal",TRUE,TRUE,TRUE,"both",TRUE,TRUE,TRUE,"both",TRUE,TRUE,TRUE,"both",1
"-","ne","postverbal","matrix","-","postverbal","finite","CMORM,I,230.1894",1200,"CMORM","ne","postverbal","ne","postverbal",TRUE,TRUE,TRUE,"both",TRUE,TRUE,TRUE,"both",TRUE,TRUE,TRUE,"both",1
"-","ne","postverbal","matrix","-","postverbal","finite","CMORM,I,230.1896",1200,"CMORM","ne","postverbal","contracted","-",TRUE,TRUE,TRUE,"both",TRUE,TRUE,TRUE,"both",FALSE,FALSE,FALSE,NA,1
"contraction","contracted","-","matrix","-","-","-","CMORM,I,230.1898",1200,"CMORM","ne","postverbal","ne","postverbal",FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,"both",TRUE,TRUE,TRUE,"both",1
"-","ne","postverbal","matrix","-","postverbal","finite","CMORM,I,235.1932",1200,"CMORM","contracted","-","ne","postverbal",TRUE,TRUE,TRUE,"both",FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,"both",1
"-","ne","postverbal","other","-","postverbal","finite","CMORM,I,237.1952",1200,"CMORM","ne","postverbal","ne","-",TRUE,TRUE,TRUE,"both",TRUE,TRUE,TRUE,"both",TRUE,FALSE,FALSE,"ne",1
"-","ne","-","other","-","-","finite","CMORM,I,239.1964",1200,"CMORM","ne","postverbal","ne","-",TRUE,FALSE,FALSE,"ne",TRUE,TRUE,TRUE,"both",TRUE,FALSE,FALSE,"ne",1
"-","ne","-","other","-","-","finite","CMORM,I,239.1966",1200,"CMORM","ne","-","contracted","-",TRUE,FALSE,FALSE,"ne",TRUE,FALSE,FALSE,"ne",FALSE,FALSE,FALSE,NA,1
"contraction","contracted","-","other","-","-","-","CMORM,I,240.1967",1200,"CMORM","ne","-","ne","preverbal",FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,"ne",TRUE,FALSE,FALSE,"ne",1
"-","ne","preverbal","other","-","preverbal","finite","CMORM,I,240.1967",1200,"CMORM","contracted","-","contracted","-",TRUE,TRUE,TRUE,"both",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,1
"contraction","contracted","-","other","-","-","-","CMORM,I,240.1967",1200,"CMORM","ne","preverbal","contracted","-",FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,"both",FALSE,FALSE,FALSE,NA,1
"contraction","contracted","-","that","-","-","-","CMORM,I,240.1968",1200,"CMORM","contracted","-","contracted","-",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,1
"contraction","contracted","-","second-conjunct","preverbal","-","finite","CMORM,I,240.1970",1200,"CMORM","contracted","-","ne","postverbal",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,"both",1
"-","ne","postverbal","matrix","-","postverbal","finite","CMORM,I,243.1983",1200,"CMORM","contracted","-","ne","postverbal",TRUE,TRUE,TRUE,"both",FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,"both",1
"-","ne","postverbal","that","-","postverbal","finite","CMORM,I,245.1995",1200,"CMORM","ne","postverbal","contracted","-",TRUE,TRUE,TRUE,"both",TRUE,TRUE,TRUE,"both",FALSE,FALSE,FALSE,NA,1
"contraction","contracted","-","second-conjunct","-","-","-","CMORM,I,245.1995",1200,"CMORM","ne","postverbal","contracted","-",FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,"both",FALSE,FALSE,FALSE,NA,1
"contraction","contracted","-","matrix","-","-","-","CMORM,I,245.1999",1200,"CMORM","contracted","-","-","-",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,1
"-","-","-","imperative","-","-","-","CMORM,I,247.2009",1200,"CMORM","contracted","-","contracted","-",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,1
"contraction","contracted","-","matrix","-","-","-","CMORM,I,247.2010",1200,"CMORM","-","-","contracted","-",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,1
"contraction","contracted","-","other","-","-","-","CMORM,I,247.2010",1200,"CMORM","contracted","-","contracted","-",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,1
"contraction","contracted","-","matrix","-","-","-","CMORM,I,248.2018",1200,"CMORM","contracted","-","ne","postverbal",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,"both",1
"-","ne","postverbal","other","-","postverbal","finite","CMORM,I,249.2023",1200,"CMORM","contracted","-","contracted","-",TRUE,TRUE,TRUE,"both",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,1
"contraction","contracted","-","matrix","-","-","-","CMORM,I,251.2036",1200,"CMORM","ne","postverbal","contracted","-",FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,"both",FALSE,FALSE,FALSE,NA,1
"contraction","contracted","-","matrix","-","-","-","CMORM,I,252.2052",1200,"CMORM","contracted","-","ne","preverbal",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,"ne",1
"-","ne","preverbal","second-conjunct","-","preverbal","finite","CMORM,I,253.2053",1200,"CMORM","contracted","-","ne","-",TRUE,TRUE,TRUE,"both",FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,"ne",1
"concord","ne","-","that","preverbal","-","finite","CMORM,I,253.2053",1200,"CMORM","ne","preverbal","contracted","-",TRUE,FALSE,FALSE,"ne",TRUE,TRUE,TRUE,"both",FALSE,FALSE,FALSE,NA,1
"contraction","contracted","-","matrix","-","-","-","CMORM,I,253.2057",1200,"CMORM","ne","-","ne","postverbal",FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,"ne",TRUE,TRUE,TRUE,"both",1
"-","ne","postverbal","matrix","-","postverbal","finite","CMORM,I,254.2062",1200,"CMORM","contracted","-","contracted","-",TRUE,TRUE,TRUE,"both",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,1
"contraction","contracted","-","matrix","-","-","-","CMORM,I,254.2070",1200,"CMORM","ne","postverbal","ne","postverbal",FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,"both",TRUE,TRUE,TRUE,"both",1
"-","ne","postverbal","matrix","-","postverbal","finite","CMORM,I,255.2073",1200,"CMORM","contracted","-","ne","postverbal",TRUE,TRUE,TRUE,"both",FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,"both",1
"-","ne","postverbal","that","-","postverbal","finite","CMORM,I,256.2076",1200,"CMORM","ne","postverbal","-","postverbal",TRUE,TRUE,TRUE,"both",TRUE,TRUE,TRUE,"both",FALSE,TRUE,FALSE,"not",1
"-","-","postverbal","other","-","postverbal","finite","CMORM,I,256.2077",1200,"CMORM","ne","postverbal","ne","-",FALSE,TRUE,FALSE,"not",TRUE,TRUE,TRUE,"both",TRUE,FALSE,FALSE,"ne",1
"-","ne","-","that","-","-","finite","CMORM,I,256.2078",1200,"CMORM","-","postverbal","ne","-",TRUE,FALSE,FALSE,"ne",FALSE,TRUE,FALSE,"not",TRUE,FALSE,FALSE,"ne",1
"-","ne","-","other","-","-","finite","CMORM,I,256.2078",1200,"CMORM","ne","-","ne","postverbal",TRUE,FALSE,FALSE,"ne",TRUE,FALSE,FALSE,"ne",TRUE,TRUE,TRUE,"both",1
"concord","ne","postverbal","matrix","-","postverbal","finite","CMORM,I,256.2079",1200,"CMORM","ne","-","ne","preverbal",TRUE,TRUE,TRUE,"both",TRUE,FALSE,FALSE,"ne",TRUE,FALSE,FALSE,"ne",1
"-","ne","preverbal","matrix","-","preverbal","finite","CMORM,I,256.2080",1200,"CMORM","ne","postverbal","contracted","-",TRUE,TRUE,TRUE,"both",TRUE,TRUE,TRUE,"both",FALSE,FALSE,FALSE,NA,1
"contraction","contracted","-","that","-","-","-","CMORM,I,258.2086",1200,"CMORM","ne","preverbal","contracted","-",FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,"both",FALSE,FALSE,FALSE,NA,1
"contraction","contracted","-","that","-","-","-","CMORM,I,258.2088",1200,"CMORM","contracted","-","-","-",FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,1
